FID,NAME,TYPE,HEIGHT,SHAPE_Leng,SHAPE_Area,ORIG_FID,POINT_X,POINT_Y
116, , ,0,383.244787416000010,6053.547420640000400,10,533849.007499999950000,3378955.832899999800000
117, , ,0,383.244787416000010,6053.547420640000400,10,533849.166199999980000,3378944.561700000000000
118, , ,0,383.244787416000010,6053.547420640000400,10,533831.703699999950000,3378945.196700000200000
119, , ,0,383.244787416000010,6053.547420640000400,10,533832.497500000060000,3378921.384099999900000
120, , ,0,383.244787416000010,6053.547420640000400,10,533850.118699999990000,3378920.590400000100000
121, , ,0,383.244787416000010,6053.547420640000400,10,533850.912499999980000,3378904.397799999900000
122, , ,0,383.244787416000010,6053.547420640000400,10,533845.515000000010000,3378900.111599999900000
123, , ,0,383.244787416000010,6053.547420640000400,10,533838.688700000060000,3378896.936600000100000
124, , ,0,383.244787416000010,6053.547420640000400,10,533826.941200000000000,3378896.460299999900000
125, , ,0,383.244787416000010,6053.547420640000400,10,533814.082399999960000,3378899.794100000100000
126, , ,0,383.244787416000010,6053.547420640000400,10,533813.923700000040000,3378893.602800000000000
127, , ,0,383.244787416000010,6053.547420640000400,10,533788.047400000040000,3378894.555300000100000
128, , ,0,83.535785936099998,428.041953585999980,11,533717.485499999950000,3378913.418800000100000
129, , ,0,83.535785936099998,428.041953585999980,11,533715.051300000050000,3378936.490499999800000
130, , ,0,83.535785936099998,428.041953585999980,11,533733.572200000050000,3378936.596400000200000
131, , ,0,83.535785936099998,428.041953585999980,11,533735.900499999990000,3378913.313000000100000
132, , ,0,83.535785936099998,428.041953585999980,11,533717.485499999950000,3378913.418800000100000
133, , ,0,80.276220472199995,369.645647275999980,12,533714.041500000050000,3378958.032100000000000
134, , ,0,80.276220472199995,369.645647275999980,12,533739.904600000010000,3378958.230500000100000
135, , ,0,80.276220472199995,369.645647275999980,12,533740.565999999990000,3378944.009099999900000
136, , ,0,80.276220472199995,369.645647275999980,12,533714.835199999970000,3378943.612199999900000
137, , ,0,80.276220472199995,369.645647275999980,12,533714.041500000050000,3378958.032100000000000
138, , ,0,75.443612263500000,350.441230643999970,13,533723.262200000000000,3378991.391700000000000
139, , ,0,75.443612263500000,350.441230643999970,13,533722.203899999960000,3379008.391200000000000
140, , ,0,75.443612263500000,350.441230643999970,13,533742.907600000040000,3379007.465100000100000
